Accelerationx,Accelerationy,Accelerationz,Gyrox,Gyroy,Gyroz
0.161309,-0.761955,-9.731382,-0.010318,-0.04801,-0.048982
0.130634,-0.741903,-9.790938,0.013902,0.045744,0.073559
-0.075268,-0.780959,-9.611672,-0.005528,-0.003653,-0.018202
0.1034,-0.776918,-9.653122,-0.034784,-0.034463,-0.053316
0.139163,-0.69776,-9.825504,0.012437,0.052815,0.056433
-0.027982,-0.761356,-9.604041,0.009718,0.014298,0.008835
0.004489,-0.835876,-9.586084,-0.031773,-0.056058,-0.065552
0.122852,-0.6813,-9.844808,0.007528,0.057524,0.042743
0.105046,-0.704045,-9.739762,0.0259,0.088881,0.080849
-0.007482,-0.788291,-9.589675,0.010398,0.013773,-0.009971
0.047435,-0.80116,-9.636662,-0.032617,-0.034207,-0.065178
0.18151,-0.684442,-9.888202,0.016734,0.044906,0.01833
0.126144,-0.84635,-9.566182,-0.001805,0.030819,0.025832
0.021398,-0.822708,-9.598803,-0.028578,-0.024633,-0.058936
0.194529,-0.769137,-9.867553,0.002289,0.02067,0.011434
0.141557,-0.786645,-9.636662,0.004228,0.023261,0.029717
0.074071,-0.803853,-9.567529,-0.044148,-0.055706,-0.060754
0.146346,-0.673968,-9.912294,-0.021002,-0.029669,-0.03302
0.043844,-0.6813,-9.883414,0.046697,0.05635,0.047267
0.018854,-0.838719,-9.604639,0.011384,-0.005603,-0.004908
0.103699,-0.816722,-9.605687,-0.027503,-0.039293,-0.041815
0.01661,-0.743849,-9.805752,0.010153,0.04188,0.016909
0.027384,-0.811934,-9.652074,0.024058,0.037242,0.001565
-0.027533,-0.817021,-9.589077,-0.019608,-0.017892,-0.057101
0.200664,-0.762703,-9.764003,-0.001948,-0.010775,-0.016756
0.034267,-0.817321,-9.749937,0.013181,0.036518,0.006462
0.113874,-0.820613,-9.663746,-0.00043,0.017824,-0.011464
0.16924,-0.848744,-9.678411,-0.008993,-0.016226,-0.020072
0.060304,-0.779612,-9.742007,-0.001558,0.006106,-0.015471
0.159963,-0.77647,-9.684845,-0.002102,0.025869,0.012827
0.083647,-0.815824,-9.71163,-0.010155,0.011167,0.004335
0.022296,-0.776021,-9.727192,0.007221,-0.020473,-0.053246
0.168193,-0.847398,-9.603741,-0.018316,-0.017679,-0.025222
0.112079,-0.791134,-9.74874,-0.008412,0.039717,0.015203
0.029928,-0.774824,-9.722853,0.003585,7.8e-05,-0.011582
0.087089,-0.77228,-9.664195,-0.015637,-0.01047,-0.039008
0.06599,-0.791433,-9.760562,0.002621,-0.008201,-0.008607
0.04115,-0.841562,-9.694123,0.001571,0.016878,-0.016478
0.133327,-0.818069,-9.68679,-0.001368,-0.005893,-0.006215
0.038906,-0.821959,-9.723451,-0.011767,-0.011738,-0.02324
0.072125,-0.808492,-9.742156,0.010047,0.025435,0.01503
0.043844,-0.843657,-9.661502,-0.003703,0.012963,-0.004102
