Accelerationx,Accelerationy,Accelerationz,Gyrox,Gyroy,Gyroz
0.156521,-0.009278,-9.75308,-0.007891,0.00731,0.001132
0.159663,0.065092,-9.76131,-0.005586,0.008716,-0.001282
0.168043,0.002394,-9.74889,-0.007617,0.007172,0.001147
0.155025,0.076465,-9.724349,-0.005758,0.009899,0.001505
0.170288,-0.003741,-9.738864,-0.005143,0.00594,0.005786
0.163255,0.083049,-9.727342,-0.007408,0.00773,0.000938
0.152331,0.009577,-9.739014,-0.006181,0.006711,0.001119
0.149189,0.067337,-9.74066,-0.002928,0.008589,0.001969
0.168791,0.019603,-9.730484,-0.010158,0.008901,6.1e-05
0.156671,0.024241,-9.744251,-0.005165,0.00922,0.003557
0.152032,0.041599,-9.73213,-0.00454,0.009583,0.002652
0.170288,0.0205,-9.738565,-0.005821,0.007205,0.002531
0.158765,0.044742,-9.744999,-0.006318,0.0081,0.002629
0.147094,-0.006434,-9.752182,-0.002908,0.011726,0.003307
0.170737,0.067487,-9.707889,-0.004649,0.006275,0.001336
0.159963,-0.001197,-9.71148,-0.00662,0.008346,0.001953
0.1444,0.062997,-9.722105,-0.006677,0.00957,0.002342
0.166547,0.026336,-9.72809,-0.008483,0.00584,0.00234
0.151882,0.059556,-9.734824,-0.006511,0.00875,0.000704
0.147692,0.039953,-9.720459,-0.005521,0.01069,0.002302
0.168941,0.0205,-9.735871,-0.005396,0.007064,0.000969
0.149787,0.04534,-9.725696,-0.008023,0.011025,0.002312
0.146346,0.027833,-9.734525,-0.007151,0.00893,0.000152
0.163704,0.044293,-9.7447,-0.003418,0.010439,0.004054
0.150835,0.026486,-9.72809,-0.007247,0.008112,-0.000254
0.150087,0.043545,-9.743802,-0.006664,0.009052,-0.001137
0.161309,0.02469,-9.744401,-0.002798,0.007107,0.001028
0.15293,0.049829,-9.747992,-0.003784,0.008805,0.002042
0.149787,0.026935,-9.734076,-0.00636,0.010458,0.002355
0.151284,0.042497,-9.742455,-0.005118,0.008196,-0.000157
0.148291,0.033968,-9.736919,-0.008961,0.007379,0.001531
0.147543,0.037559,-9.740809,-0.006281,0.008716,0.000823
0.163704,0.028132,-9.758616,-0.003611,0.008707,0.000886
0.151134,0.046088,-9.749189,-0.007092,0.010543,0.001842
0.161459,0.032022,-9.731083,-0.005221,0.006436,0.001825
0.151284,0.04145,-9.745299,-0.005814,0.010036,-0.002125
0.157718,0.030676,-9.74051,-0.005912,0.007918,0.001777
0.163404,0.035314,-9.739163,-0.006979,0.008625,0.002396
0.16116,0.041749,-9.745299,-0.006128,0.008813,-0.000236
0.16505,0.034117,-9.729886,-0.004886,0.011005,0.001339
0.151433,0.041749,-9.731382,-0.005806,0.008031,-2.2e-05
0.160561,0.033668,-9.743653,-0.005681,0.00969,0.001831
0.162207,0.044293,-9.736769,-0.00555,0.007191,0.001573
0.160711,0.03322,-9.736919,-0.005327,0.006105,0.001342
0.162506,0.04534,-9.738864,-0.004878,0.009451,0.000719
0.174328,0.033519,-9.735423,-0.009523,0.0077,-0.000667
0.154276,0.034716,-9.734674,-0.004036,0.007132,0.001525
0.157269,0.048632,-9.741558,-0.006868,0.010948,0.001855
0.159663,0.029628,-9.725098,-0.005607,0.00925,0.000591
0.158466,0.02903,-9.722105,-0.005043,0.007189,0.002651
0.157419,0.037709,-9.740959,-0.00721,0.008301,0.001918
0.149338,0.024541,-9.703999,-0.005743,0.005923,-0.000621
0.153678,0.03696,-9.722105,-0.007167,0.007322,0.001731
0.162506,0.028132,-9.714324,-0.005923,0.006066,0.000483
0.158765,0.04953,-9.742455,-0.003708,0.009242,0.00146
0.149937,0.03292,-9.726145,-0.004157,0.008864,0.000231
0.171185,0.032322,-9.727492,-0.002947,0.008148,-0.000103
0.161908,0.026635,-9.735423,-0.005934,0.008161,0.003577
0.160711,0.049829,-9.716269,-0.003179,0.007137,0.000987
0.159364,0.054169,-9.752182,-0.006585,0.010046,0.003478
0.159514,-0.012719,-9.741558,-0.006223,0.008909,-0.001389
0.154127,0.096217,-9.750985,-0.007801,0.008112,0.003298
0.168642,-0.030227,-9.736769,-0.004796,0.008831,0.001399
0.150236,0.096367,-9.745299,-0.004023,0.008397,0.002923
0.172682,-0.031274,-9.715371,-0.003956,0.008804,-0.000169
0.157119,0.095618,-9.740361,-0.004886,0.011379,0.00256
0.157868,-0.018705,-9.747842,-0.004935,0.007,0.00241
0.153678,0.073921,-9.7447,-0.006437,0.007478,-7.9e-05
0.164152,0.028132,-9.738864,-0.004096,0.008082,0.003326
0.15263,0.056114,-9.741109,-0.00454,0.007293,0.001264
0.16101,0.042497,-9.747543,-0.007661,0.008514,0.003019
0.165499,0.009726,-9.72809,-0.007392,0.008801,0.001671
0.16505,0.042198,-9.753678,-0.005006,0.009294,0.001882
0.15293,0.011971,-9.748142,-0.006289,0.006962,0.000731
0.153528,0.077961,-9.727342,-0.005481,0.009804,0.000857
0.164751,0.0,-9.739463,-0.007032,0.00794,0.00261
0.144999,0.073622,-9.740061,-0.007058,0.010064,0.000901
0.167744,0.003442,-9.728689,-0.007501,0.008339,0.002551
0.16101,0.068384,-9.721955,-0.00433,0.007996,-0.000499
0.15278,0.005237,-9.710882,-0.005797,0.009033,-0.001329
0.162207,0.043844,-9.727791,-0.00609,0.00495,0.001017
0.162058,0.039055,-9.704448,-0.003788,0.009089,0.002361
0.162357,0.048183,-9.68275,-0.004543,0.005959,0.004892
0.167145,-0.019004,-9.79004,-0.005687,0.009121,0.001675
0.143203,-0.00015,-9.691279,-0.006711,0.006964,-0.000464
0.151583,0.119112,-9.710283,-0.00141,0.010694,0.000116
0.171185,-0.03307,-9.698911,-0.008683,0.005012,0.003009
0.130334,0.133028,-9.729287,-0.00173,0.013083,-0.000111
0.174029,-0.065691,-9.76131,-0.007239,0.006282,0.000381
0.164302,0.108338,-9.718962,-0.006404,0.007293,0.000122
0.142904,-0.01242,-9.75712,-0.00542,0.009231,0.003307
0.168941,0.04953,-9.749339,-0.00642,0.008738,0.002253
0.170138,-0.015263,-9.749937,-0.006283,0.009674,0.000797
0.143203,0.042347,-9.730335,-0.004949,0.008494,0.00606
0.164751,0.072425,-9.746795,-0.006908,0.008163,0.000659
0.164152,0.029479,-9.739912,-0.004119,0.006435,0.002464
