MagneticFieldx,MagneticFieldy,MagneticFieldz
3.932953,-101.871078,-167.412064
4.076584,-102.144669,-167.059753
3.902191,-102.220886,-167.194382
3.900177,-102.068649,-167.376678
4.068924,-101.923615,-167.409378
3.866776,-101.800629,-167.294632
3.862289,-101.805069,-167.511047
3.803604,-101.599686,-167.588654
3.683411,-102.16423,-166.914429
3.817703,-101.728699,-167.260529
3.753036,-101.92923,-167.307632
3.635696,-102.049225,-167.003067
3.798904,-101.928772,-167.59227
3.356873,-102.034286,-167.122055
3.673798,-101.836456,-166.81665
3.770767,-101.769577,-166.632355
3.881104,-101.948029,-167.221329
4.034683,-101.926193,-166.857559
4.220413,-101.608932,-167.471207
3.781006,-101.977203,-167.109482
3.888306,-101.606171,-166.688629
3.463409,-101.718674,-167.384888
3.587448,-101.934952,-167.285248
4.049286,-102.078354,-167.292892
3.517944,-102.006897,-166.875092
3.814224,-101.971848,-166.796707
3.835632,-101.714462,-167.320007
4.224091,-102.168045,-167.00795
3.879288,-102.189926,-167.418869
3.67337,-101.894958,-167.215759
3.746094,-101.910172,-167.338058
3.923065,-102.009384,-167.631805
3.611404,-102.049759,-166.955185
3.799438,-101.959656,-166.379059
3.795364,-102.016953,-166.945053
3.739288,-101.808746,-167.215698
3.892914,-101.716232,-167.024063
3.656464,-102.16716,-166.556412
4.067642,-101.975006,-167.582413
3.561264,-101.68454,-167.20491
3.669724,-101.756958,-166.771133
3.652771,-101.964706,-167.308182
3.751724,-102.239471,-167.121719
3.819366,-102.038956,-166.410172
3.684204,-101.524658,-167.100464
4.084412,-101.957428,-166.857407
3.872375,-101.936005,-166.96666
3.923676,-102.159775,-167.619553
3.81781,-101.928558,-167.295074
4.08963,-101.678909,-167.458481
4.23381,-102.111084,-167.069016
3.541748,-102.158981,-167.133881
3.941711,-101.833542,-167.290131
3.635513,-101.656387,-166.810852
3.662064,-102.158432,-167.388596
3.704163,-102.113052,-167.016205
4.086365,-101.664108,-166.550369
3.899689,-101.838913,-166.805405
3.451538,-102.043579,-166.915955
3.893341,-101.737442,-167.070435
3.779633,-101.933121,-167.358047
3.912613,-101.668121,-167.10408
3.407562,-101.916931,-167.280441
3.545288,-101.682755,-167.546494
3.886673,-102.031555,-167.854126
3.449066,-102.010864,-167.23436
3.75116,-101.609589,-167.61055
3.570724,-101.657837,-167.301132
3.315857,-101.803177,-167.423645
3.534576,-101.800812,-167.746353
3.688278,-102.05249,-167.764771
3.586243,-101.995575,-167.558853
3.942947,-102.037872,-167.246262
3.658325,-101.870132,-167.730377
3.816864,-102.197067,-167.193329
3.707321,-101.878937,-168.079926
3.790649,-101.922638,-167.672897
3.837311,-101.940323,-167.526627
3.629379,-101.819595,-167.613693
3.639954,-102.323441,-167.53331
3.470749,-101.929306,-167.239441
3.524368,-102.177307,-167.565765
3.385452,-101.683685,-167.72847
3.295456,-101.992844,-167.807175
3.364868,-102.203934,-167.80127
3.749084,-102.05191,-168.024857
3.406738,-101.868805,-167.301239
3.841293,-102.066315,-167.256836
3.588715,-101.733047,-167.384033
3.232697,-101.849289,-167.753403
3.595154,-101.718964,-167.731049
3.728699,-102.080963,-167.62529
3.731583,-101.916718,-167.959976
3.883682,-101.875549,-167.836288
3.887024,-101.467972,-167.047562
3.86618,-101.983459,-167.850281
3.879791,-101.876663,-167.884048
3.526413,-101.94725,-167.928406
3.583038,-101.846283,-167.352371
3.570068,-101.647842,-167.583115
2.92981,-101.902222,-168.01889
3.797852,-101.774796,-167.808746
3.705505,-101.978851,-167.875351
3.705582,-101.885406,-167.618301
3.826736,-101.69136,-167.607025
4.0215,-101.894775,-167.80127
4.193359,-101.941757,-168.008438
3.731689,-101.794724,-167.730545
3.94104,-101.917679,-168.057281
3.444931,-101.800629,-168.165527
3.440659,-101.656708,-168.449585
3.514511,-101.899475,-167.527405
3.513596,-102.007797,-168.168793
3.72879,-102.126526,-168.335449
3.591644,-101.963287,-167.848907
3.568939,-101.659668,-167.897644
3.532745,-101.933945,-167.637253
3.78714,-102.035858,-168.101547
3.934814,-102.039612,-167.387711
3.904724,-102.010559,-167.80246
3.553101,-102.083679,-166.781067
3.805435,-102.057678,-167.709839
3.733627,-101.662354,-167.579895
3.633606,-101.583832,-167.892761
3.659485,-101.95076,-167.736145
3.492111,-101.694611,-167.765259
3.640076,-101.825363,-167.477478
3.826324,-101.798996,-167.819138
3.603561,-101.863449,-167.829391
3.675903,-101.938278,-167.803467
3.481033,-101.835403,-167.745956
3.493927,-101.941818,-168.274704
3.88147,-101.786423,-167.849594
3.950623,-101.925644,-167.684937
3.765594,-101.584335,-168.031799
3.541031,-101.704453,-167.535797
3.75293,-101.820129,-168.226517
3.676193,-101.820312,-167.957886
3.448273,-101.844574,-167.920029
3.778458,-101.937912,-167.88205
3.405518,-101.812241,-167.812027
3.599747,-102.200546,-167.677979
3.391586,-101.910461,-167.814148
3.65213,-101.957367,-167.440384
3.747238,-102.118729,-167.682755
3.932266,-101.72789,-167.251724
3.677536,-101.988876,-167.541382
3.639786,-101.706589,-167.10173
3.759872,-101.909714,-167.495789
3.975525,-101.967621,-167.083389
3.318787,-101.953308,-167.227432
3.70517,-101.762177,-167.215347
3.499435,-101.916977,-168.234436
3.633057,-101.834885,-167.498962
3.491425,-101.733246,-167.619339
3.811203,-101.848755,-168.468872
3.846878,-102.007324,-167.71254
3.986633,-102.087555,-167.532684
3.863205,-102.1138,-167.712128
3.492844,-102.042892,-167.103546
3.498444,-101.75592,-167.209824
3.717072,-102.175415,-167.758118
3.614212,-101.569092,-167.914017
3.520859,-102.105515,-167.865952
3.509857,-101.665863,-168.323029
3.448425,-101.697876,-167.900925
3.430695,-101.944717,-168.103073
3.385223,-101.841827,-168.007843
3.553986,-101.870239,-168.370468
3.681107,-101.910339,-168.639709
3.37619,-102.060699,-168.269608
3.460907,-101.915802,-168.270142
3.804092,-101.970917,-168.016922
3.762665,-101.608521,-167.923965
4.060593,-101.69632,-168.025742
3.698471,-101.718231,-168.226486
3.696609,-101.695557,-167.769058
3.680588,-101.742371,-168.097244
3.69487,-101.947647,-168.01741
3.78891,-102.084427,-168.530029
3.393326,-102.321671,-168.261139
3.523529,-102.027924,-168.069687
3.68277,-101.904739,-167.52359
3.411682,-101.641678,-167.747986
3.787643,-101.638107,-167.775177
3.614761,-101.789948,-167.067566
3.824203,-101.856598,-168.001297
3.847244,-101.675293,-168.096558
3.736862,-101.844955,-168.110901
3.778702,-101.951981,-168.083221
3.547165,-101.939987,-168.440292
3.327362,-102.062561,-167.915634
3.429886,-102.042725,-168.311752
3.417938,-102.088531,-167.91185
3.362961,-101.774185,-167.78334
3.579666,-101.758423,-167.883942
3.425308,-101.642365,-168.35434
3.361023,-101.931946,-168.049438
3.501617,-102.033783,-168.010895
3.480774,-101.601334,-168.056259
3.29718,-101.612411,-167.905487
3.6521,-102.048721,-168.430176
3.709961,-102.14183,-168.220306
3.884567,-102.308929,-167.988754
3.790741,-101.470505,-168.575226
3.404587,-101.385315,-167.846909
3.743683,-101.676254,-168.199722
